SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SUJANAUNI, BE, 10-Jul-2019, 0.20, 0.15, 0.20, 0.15, 0.15, 0.15, 0.15, 487053, 0.74, 41, -, -
SUMEETINDS, EQ, 10-Jul-2019, 2.60, 2.60, 2.75, 2.60, 2.65, 2.70, 2.69, 30213, 0.81, 61, 25825, 85.48
SUMIT, SM, 10-Jul-2019, 46.20, 47.65, 47.65, 47.65, 47.65, 47.65, 47.65, 3000, 1.43, 1, 3000, 100.00
SUMMITSEC, EQ, 10-Jul-2019, 483.20, 473.55, 490.00, 462.50, 473.55, 474.20, 477.45, 1711, 8.17, 151, 1339, 78.26
SUNCLAYLTD, EQ, 10-Jul-2019, 2285.25, 2285.30, 2310.00, 2235.95, 2236.10, 2249.90, 2281.86, 1570, 35.83, 602, 316, 20.13
SUNDARAM, EQ, 10-Jul-2019, 1.70, 1.70, 1.70, 1.65, 1.65, 1.65, 1.65, 205093, 3.39, 105, 151458, 73.85
SUNDARMFIN, EQ, 10-Jul-2019, 1592.50, 1615.30, 1628.75, 1580.00, 1586.60, 1593.05, 1619.16, 453457, 7342.21, 1586, 448724, 98.96
SUNDARMHLD, EQ, 10-Jul-2019, 84.75, 83.50, 86.30, 83.00, 83.00, 83.15, 83.72, 8115, 6.79, 214, 6360, 78.37
SUNDRMBRAK, EQ, 10-Jul-2019, 301.75, 294.15, 305.00, 291.60, 297.85, 295.95, 298.48, 2330, 6.95, 91, 1681, 72.15
SUNDRMFAST, EQ, 10-Jul-2019, 475.90, 480.00, 483.95, 459.55, 463.00, 462.70, 463.81, 247058, 1145.88, 6616, 205724, 83.27
SUNFLAG, EQ, 10-Jul-2019, 34.55, 34.00, 36.40, 34.00, 35.00, 35.35, 35.48, 66275, 23.51, 1219, 30865, 46.57
SUNILHITEC, BE, 10-Jul-2019, 0.50, 0.45, 0.50, 0.45, 0.45, 0.45, 0.45, 344806, 1.55, 102, -, -
SUNPHARMA, EQ, 10-Jul-2019, 386.40, 386.00, 397.35, 380.60, 390.45, 392.20, 389.98, 10202064, 39786.05, 128191, 1919408, 18.81
