Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,154.729996,154.979996,150.880005,151.669998,150.424072,2755000
2018-12-18,153.330002,154.029999,151.149994,152.139999,150.890213,2692600
2018-12-19,152.289993,156.210007,149.580002,150.960007,149.719910,3261000
2018-12-20,146.000000,147.199997,139.490005,143.500000,142.321182,6409200
2018-12-21,141.020004,144.850006,136.929993,137.199997,136.072937,6236900
2018-12-24,136.580002,136.919998,133.600006,133.669998,132.571945,2305400
2018-12-26,134.800003,139.020004,132.630005,139.009995,137.868073,2488600
2018-12-27,137.110001,140.410004,134.690002,140.410004,139.256577,2684100
2018-12-28,141.009995,141.800003,138.809998,139.820007,138.671432,2015600
2018-12-31,140.399994,141.289993,139.389999,141.009995,139.851639,1826400
2019-01-02,138.929993,141.190002,138.279999,140.589996,139.435089,2059300
2019-01-03,139.130005,139.570007,135.580002,135.789993,134.674515,2801300
2019-01-04,138.119995,141.339996,137.500000,141.070007,139.911163,2296400
2019-01-07,140.830002,142.369995,139.850006,141.559998,140.397125,2315600
2019-01-08,144.630005,146.809998,142.690002,145.139999,143.947723,2647800
2019-01-09,145.259995,147.199997,145.139999,145.869995,144.671722,2181500
2019-01-10,144.660004,147.130005,144.270004,147.020004,145.812271,1836300
2019-01-11,143.009995,147.429993,143.009995,146.229996,145.028763,2004100
2019-01-14,144.779999,145.660004,144.149994,144.929993,143.739441,1484500
2019-01-15,145.080002,147.500000,145.009995,146.889999,145.683334,1543800
2019-01-16,148.779999,149.460007,147.720001,147.880005,146.665207,2677100
2019-01-17,147.240005,149.619995,147.240005,149.119995,147.895020,1814700
2019-01-18,150.000000,151.399994,149.110001,150.449997,149.214096,2470500
2019-01-22,149.500000,150.399994,147.910004,148.970001,147.746262,1950300
2019-01-23,149.860001,150.929993,147.440002,148.419998,147.200775,1989400
2019-01-24,148.809998,150.309998,148.669998,150.149994,148.916550,1947100
2019-01-25,151.580002,152.220001,150.960007,151.850006,150.602600,1742800
2019-01-28,150.720001,152.240005,150.199997,152.240005,150.989395,2046500
2019-01-29,152.020004,152.410004,151.110001,152.020004,150.771210,1963200
2019-01-30,152.520004,154.500000,151.839996,154.089996,152.824188,1679400
2019-01-31,153.500000,154.899994,153.119995,153.550003,152.288635,2115600
2019-02-01,154.250000,155.220001,153.660004,154.740005,153.468857,1957400
2019-02-04,155.000000,156.639999,154.229996,156.550003,155.263992,1666100
2019-02-05,156.750000,157.410004,156.550003,157.320007,156.027664,1985700
2019-02-06,157.149994,158.029999,156.889999,157.160004,155.868973,1375100
2019-02-07,155.850006,156.000000,154.190002,155.179993,153.905228,2109800
2019-02-08,154.149994,155.949997,154.020004,155.589996,154.311874,2300000
2019-02-11,156.000000,157.300003,155.020004,155.320007,154.044098,1410500
2019-02-12,156.029999,157.029999,155.639999,156.630005,155.343338,1861300
2019-02-13,157.000000,158.539993,156.860001,158.029999,156.731827,1952100
2019-02-14,157.720001,158.839996,156.740005,157.850006,156.553314,1552900
2019-02-15,159.080002,159.330002,158.229996,159.229996,157.921967,2395200
2019-02-19,158.610001,160.100006,158.190002,159.479996,158.169907,1656500
2019-02-20,159.779999,160.119995,158.429993,159.710007,158.398041,1942300
2019-02-21,159.580002,160.050003,158.880005,159.529999,158.219513,1835700
2019-02-22,160.179993,161.830002,159.960007,161.500000,160.173325,1679300
2019-02-25,162.059998,162.410004,161.529999,161.669998,160.341919,1368000
2019-02-26,161.619995,162.500000,161.039993,161.339996,160.014633,1526200
2019-02-27,160.850006,161.259995,160.130005,160.630005,159.310471,1536300
